,PLAN,YEAR,CF_ASSET,CF_LIAB,CF_CUM_ASSET,CF_CUM_LIAB,COUPON,PRINCIPAL,GAP,CF_CUM
16,u102,2033,2620800.0,29364110.159067,809045298.5300499,701477061.7271361,2620800.0,0.0,-26743310.159067,107568236.80291378
17,u102,2034,2620800.0,26525241.125693,811666098.5300499,728002302.8528291,2620800.0,0.0,-23904441.125693,83663795.67722082
18,u102,2035,2620800.0,20460264.371404998,814286898.5300499,748462567.2242341,2620800.0,0.0,-17839464.371404998,65824331.305815816
19,u102,2036,5620800.0,23008606.231481,819907698.5300499,771471173.4557151,2620800.0,3000000.0,-17387806.231481,48436525.07433486
20,u102,2037,65020800.0,15152604.150749,884928498.5300499,786623777.606464,2620800.0,62400000.0,49868195.849251,98304720.92358589
21,u102,2038,6000000.0,11565352.252491001,890928498.5300499,798189129.858955,0.0,6000000.0,-5565352.252491001,92739368.6710949
22,u102,2039,13400000.0,10333341.637584,904328498.5300499,808522471.496539,0.0,13400000.0,3066658.362415999,95806027.03351092
23,u102,2040,18750000.0,9181927.4182768,923078498.5300499,817704398.9148158,0.0,18750000.0,9568072.5817232,105374099.61523414
24,u102,2041,15000000.0,9074307.6407365,938078498.5300499,826778706.5555522,0.0,15000000.0,5925692.3592635,111299791.97449768
25,u103,2021,22969935.775,22564536.354700003,22969935.775,22564536.354700003,2364319.775,20605616.0,405399.4202999957,405399.4202999957
26,u103,2022,16549038.975000001,15718034.874673,39518974.75,38282571.229373,1709038.975,14840000.0,831004.1003270019,1236403.5206269994
27,u103,2023,7709038.975000001,7093604.6265434,47228013.725,45376175.8559164,1709038.975,6000000.0,615434.3484566007,1851837.8690835983
28,u103,2024,6709038.975000001,5220508.1339331,53937052.7,50596683.9898495,1709038.975,5000000.0,1488530.8410669006,3340368.7101505026
29,u103,2025,8782841.975,5088309.8603804,62719894.675000004,55684993.850229904,1709038.975,7073803.0,3694532.1146195997,7034900.8247701
30,u103,2026,2608158.9749999996,4283966.8760746,65328053.650000006,59968960.7263045,1608158.975,1000000.0,-1675807.9010746004,5359092.923695505
31,u103,2027,3799358.9749999996,5691714.535514,69127412.625,65660675.2618185,1599358.975,2200000.0,-1892355.5605140002,3466737.3631815016
32,u103,2028,6381924.975000001,9033470.732073199,75509337.6,74694145.9938917,1578888.975,4803036.0,-2651545.7570731984,815191.6061082929
33,u103,2029,9234406.8,5434628.5476708,84743744.39999999,80128774.5415625,1434406.7999999998,7800000.0,3799778.2523292005,4614969.858437493
34,u103,2030,1258766.7999999998,4954560.676795,86002511.19999999,85083335.2183575,1258766.7999999998,0.0,-3695793.8767950004,919175.9816424847
35,u103,2031,5823589.800000001,5386103.5289509,91826100.99999999,90469438.7473084,1258766.7999999998,4564823.0,437486.2710491009,1356662.2526915818
36,u103,2032,3649005.65,5208490.1028036,95475106.64999999,95677928.850112,1049005.65,2600000.0,-1559484.4528036,-202822.200112015
37,u103,2033,5523168.65,5293923.6716387,100998275.3,100971852.5217507,938255.65,4584913.0,229244.9783613002,26422.778249293566
38,u103,2034,709010.0,3729614.1672047996,101707285.3,104701466.6889555,709010.0,0.0,-3020604.1672047996,-2994181.3889555037
39,u103,2035,3209010.0,3156341.1675246004,104916295.3,107857807.8564801,709010.0,2500000.0,52668.8324753996,-2941512.5564801097
40,u103,2036,3402760.0,2690085.6523657003,108319055.3,110547893.5088458,702760.0,2700000.0,712674.3476342997,-2228838.208845809
41,u103,2037,8591250.0,4000266.0211326,116910305.3,114548159.52997841,591250.0,8000000.0,4590983.9788674,2362145.7700215876
